rating,timestamp,user_id_idx,item_id_idx
3,887080905,575,275
4,891464148,829,691
5,879456334,526,179
4,879376967,869,9
4,879442377,803,654
4,891250363,931,140
3,876525315,663,731
4,879111153,454,446
4,882164867,255,202
4,880571629,108,507
3,877910478,791,362
4,874792663,275,163
5,881172117,114,510
4,891307175,617,190
4,879617977,534,478
5,875801369,129,182
2,889492679,662,1014
5,885598961,498,164
4,880056453,377,701
4,881514811,12,304
3,881956220,27,608
5,874729996,711,1216
2,893265046,188,911
4,875271607,144,362
4,889076475,643,985
4,891449075,268,210
3,888193541,870,96
4,891447931,268,134
3,886483049,386,38
3,884206330,197,120
4,880036824,71,27
4,884882702,647,565
3,879531504,626,280
5,881105442,291,482
4,874835062,290,3
3,889730262,392,821
3,891032662,400,120
3,874964267,620,183
4,879442538,803,70
3,890627264,529,332
3,877618584,298,302
5,876465144,874,1099
1,882903644,636,740
4,887909890,503,503
3,884059027,585,202
4,883601089,65,293
3,879898447,544,325
3,885668277,629,152
4,889493628,662,191
5,880472321,502,422
4,884068497,69,392
1,879114143,306,686
3,879446503,842,198
5,889987954,619,0
4,891964244,32,291
3,883445079,486,290
1,887157732,895,324
5,874874760,505,204
5,884921033,245,651
3,875035954,832,272
3,891207859,479,257
5,891295330,277,602
4,891216157,353,879
3,887820385,326,116
5,883982173,256,918
3,889501551,298,916
4,877319197,70,99
4,881373756,455,1263
5,875771441,194,126
4,880180122,888,602
5,880078677,866,1036
5,881432392,215,1064
2,880134532,157,230
3,887768756,435,324
5,883949199,845,608
4,879517635,294,226
4,875979431,776,0
5,876973917,67,474
5,890595900,284,197
4,888631208,504,270
2,880158425,906,339
3,888106182,143,517
5,882608357,591,1007
2,874951005,20,677
4,888539471,772,791
2,880858792,423,257
3,880175157,879,1044
4,889814343,343,315
4,891042194,547,301
3,879451401,684,879
4,880470570,576,471
4,880180945,888,159
3,882386785,428,1108
2,880817753,928,432
3,880927127,605,78
4,878693183,814,97
3,879148129,698,369
4,885478799,379,662
2,887523271,654,877
1,882212527,647,224
5,881433689,136,182
3,880176596,888,876
4,875463595,513,430
4,879735641,903,110
4,882892424,438,299
3,880606533,243,661
4,878946473,273,207
4,885606735,641,567
1,879052141,880,239
5,879544882,677,0
3,879462103,478,65
3,888633129,494,3
4,884363803,126,293
5,893119438,531,745
4,877819634,293,741
4,879303830,211,85
3,875309415,513,712
